Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
3B,Dane Jager (1029),Dane Jager,1029,3B,5853,SAM@WKS 7:05PM ET,WKS,10.42
3B,Reese Keel (1030),Reese Keel,1030,3B,5794,SAM@WKS 7:05PM ET,WKS,10.68
SS,Cruz Larkin (1031),Cruz Larkin,1031,SS,4952,SAM@WKS 7:05PM ET,WKS,9.41
SS,Shane Moss (1032),Shane Moss,1032,SS,4627,SAM@WKS 7:05PM ET,WKS,11.45
OF,Vance Norrell (1033),Vance Norrell,1033,OF,5587,SAM@WKS 7:05PM ET,WKS,11.45
OF,Tate Odom (1034),Tate Odom,1034,OF,5094,SAM@WKS 7:05PM ET,WKS,13.14
OF,Cody Pruitt (1035),Cody Pruitt,1035,OF,3083,SAM@WKS 7:05PM ET,WKS,6.51
OF,Dario Quill (1036),Dario Quill,1036,OF,3275,SAM@WKS 7:05PM ET,WKS,7.72
C,Isiah Rask (1037),Isiah Rask,1037,C,3222,BLU@FOX 9:40PM ET,FOX,8.16
C,Roman Sutter (1038),Roman Sutter,1038,C,4327,BLU@FOX 9:40PM ET,FOX,7.09
1B,Andres Tarver (1039),Andres Tarver,1039,1B,5337,BLU@FOX 9:40PM ET,FOX,8.95
1B,Julian Underwood (1040),Julian Underwood,1040,1B,4885,BLU@FOX 9:40PM ET,FOX,10.62
2B,Tobias Vail (1041),Tobias Vail,1041,2B,6185,BLU@FOX 9:40PM ET,FOX,14.96
2B,Emil Wren (1042),Emil Wren,1042,2B,3993,BLU@FOX 9:40PM ET,FOX,9.17
3B,Grady Yates (1043),Grady Yates,1043,3B,5034,BLU@FOX 9:40PM ET,FOX,10.55
3B,Hollis Zahn (1044),Hollis Zahn,1044,3B,5864,BLU@FOX 9:40PM ET,FOX,12.06
SS,Ivo Abt (1045),Ivo Abt,1045,SS,6040,BLU@FOX 9:40PM ET,FOX,10.23
SS,Jett Briggs (1046),Jett Briggs,1046,SS,3705,BLU@FOX 9:40PM ET,FOX,7.68
OF,Kyler Cutter (1047),Kyler Cutter,1047,OF,5320,BLU@FOX 9:40PM ET,FOX,8.86
OF,Lane Dane (1048),Lane Dane,1048,OF,5594,BLU@FOX 9:40PM ET,FOX,12.87
OF,Moss Everly (1049),Moss Everly,1049,OF,5250,BLU@FOX 9:40PM ET,FOX,11.43
OF,Niall Frost (1050),Niall Frost,1050,OF,5390,BLU@FOX 9:40PM ET,FOX,13.05
C,Orin Gale (1051),Orin Gale,1051,C,3765,BLU@FOX 9:40PM ET,BLU,8.72
C,Perry Hix (1052),Perry Hix,1052,C,5338,BLU@FOX 9:40PM ET,BLU,10.39
1B,Quinton Ibarra (1053),Quinton Ibarra,1053,1B,4491,BLU@FOX 9:40PM ET,BLU,8.78
1B,Ridge Jarrell (1054),Ridge Jarrell,1054,1B,5102,BLU@FOX 9:40PM ET,BLU,8.76
2B,Sylas Kestrel (1055),Sylas Kestrel,1055,2B,2841,BLU@FOX 9:40PM ET,BLU,5.17
2B,Tobin Lomax (1056),Tobin Lomax,1056,2B,3777,BLU@FOX 9:40PM ET,BLU,6.53
3B,Uri Monk (1057),Uri Monk,1057,3B,3614,BLU@FOX 9:40PM ET,BLU,7.22
3B,Vito Nix (1058),Vito Nix,1058,3B,6169,BLU@FOX 9:40PM ET,BLU,12.93
SS,Waylon Ochoa (1059),Waylon Ochoa,1059,SS,3281,BLU@FOX 9:40PM ET,BLU,6.72
SS,Ash Piper (1060),Ash Piper,1060,SS,4850,BLU@FOX 9:40PM ET,BLU,9.11
OF,Beckett Quade (1061),Beckett Quade,1061,OF,3160,BLU@FOX 9:40PM ET,BLU,7.64
OF,Cove Reyes (1062),Cove Reyes,1062,OF,6138,BLU@FOX 9:40PM ET,BLU,13.2
OF,Denny Salt (1063),Denny Salt,1063,OF,5493,BLU@FOX 9:40PM ET,BLU,11.07
OF,Hitter0 Sub (1064),Hitter0 Sub,1064,OF,4069,BLU@FOX 9:40PM ET,BLU,9.29
1B/OF,Multi Guyette (1065),Multi Guyette,1065,1B/OF,4400,SAM@WKS 7:05PM ET,SAM,8.92
3B/SS,Swap Perrin (1066),Swap Perrin,1066,3B/SS,4100,SAM@WKS 7:05PM ET,WKS,7.95
1B/3B,Corner Odett (1067),Corner Odett,1067,1B/3B,3900,BLU@FOX 9:40PM ET,FOX,7.21
2B/SS,Roamer Diaz (1068),Roamer Diaz,1068,2B/SS,4300,BLU@FOX 9:40PM ET,BLU,8.13
